Number2;Item;German;French;Spanish;Italian;Japanese;Korean;Chinese;Chinese2
0521;Data Card 17;Datenkarte17;Carte Mémo17;Tarjeta Datos 17;Scheda dati 17;データカード１７;데이터카드17;数据卡１７;資料卡１７
0522;Data Card 18;Datenkarte18;Carte Mémo18;Tarjeta Datos 18;Scheda dati 18;データカード１８;데이터카드18;数据卡１８;資料卡１８
0523;Data Card 19;Datenkarte19;Carte Mémo19;Tarjeta Datos 19;Scheda dati 19;データカード１９;데이터카드19;数据卡１９;資料卡１９
0524;Data Card 20;Datenkarte20;Carte Mémo20;Tarjeta Datos 20;Scheda dati 20;データカード２０;데이터카드20;数据卡２０;資料卡２０
0525;Data Card 21;Datenkarte21;Carte Mémo21;Tarjeta Datos 21;Scheda dati 21;データカード２１;데이터카드21;数据卡２１;資料卡２１
0526;Data Card 22;Datenkarte22;Carte Mémo22;Tarjeta Datos 22;Scheda dati 22;データカード２２;데이터카드22;数据卡２２;資料卡２２
0527;Data Card 23;Datenkarte23;Carte Mémo23;Tarjeta Datos 23;Scheda dati 23;データカード２３;데이터카드23;数据卡２３;資料卡２３
0528;Data Card 24;Datenkarte24;Carte Mémo24;Tarjeta Datos 24;Scheda dati 24;データカード２４;데이터카드24;数据卡２４;資料卡２４
0529;Data Card 25;Datenkarte25;Carte Mémo25;Tarjeta Datos 25;Scheda dati 25;データカード２５;데이터카드25;数据卡２５;資料卡２５
0530;Data Card 26;Datenkarte26;Carte Mémo26;Tarjeta Datos 26;Scheda dati 26;データカード２６;데이터카드26;数据卡２６;資料卡２６
0531;Data Card 27;Datenkarte27;Carte Mémo27;Tarjeta Datos 27;Scheda dati 27;データカード２７;데이터카드27;数据卡２７;資料卡２７
0532;Jade Orb;Grüne Kugel;Orbe Vert;Esfera Verde;Sfera verde;もえぎいろのたま;연둣빛구슬;草绿色宝珠;草綠色寶珠
0533;Lock Capsule;Tresorkapsel;Poké Écrin;Cápsula Candado;Capsula scrigno;ロックカプセル;록캡슐;上锁的容器;上鎖的容器
0534;Red Orb;Roter Edelstein;Gemme Rouge;Prisma Rojo;Gemma rossa;べにいろのたま;주홍구슬;朱红色宝珠;朱紅色寶珠
0535;Blue Orb;Blauer Edelstein;Gemme Bleue;Prisma Azul;Gemma blu;あいいろのたま;쪽빛구슬;靛蓝色宝珠;靛藍色寶珠
0536;Enigma Stone;Mytokristall;Mystécristal;Misticristal;Misticristal;なぞのすいしょう;수수께끼의수정;谜之水晶;謎之水晶
0537;Prism Scale;Schönschuppe;Bel'Écaille;Escama Bella;Squama bella;きれいなウロコ;고운비늘;美丽鳞片;美麗鱗片
0538;Eviolite;Evolith;Évoluroc;Mineral Evolutivo;Evolcondensa;しんかのきせき;진화의휘석;进化奇石;進化奇石
0539;Float Stone;Leichtstein;Pierrallégée;Piedra Pómez;Pietralieve;かるいし;가벼운돌;轻石;輕石
0540;Rocky Helmet;Beulenhelm;Casque Brut;Casco Dentado;Bitorzolelmo;ゴツゴツメット;울퉁불퉁멧;凸凸头盔;凸凸頭盔
0541;Air Balloon;Luftballon;Ballon;Globo Helio;Palloncino;ふうせん;풍선;气球;氣球
0542;Red Card;Rote Karte;Carton Rouge;Tarjeta Roja;Cartelrosso;レッドカード;레드카드;红牌;紅牌
0543;Ring Target;Zielscheibe;Point de Mire;Blanco;Facilsaglio;ねらいのまと;겨냥표적;标靶;標靶
0544;Binding Band;Klammerband;Bande Étreinte;Banda Atadura;Legafascia;しめつけバンド;조임밴드;紧绑束带;緊綁束帶
0545;Absorb Bulb;Knolle;Bulbe;Tubérculo;Bulbo;きゅうこん;구근;球根;球根
0546;Cell Battery;Akku;Pile;Pila;Ricaripila;じゅうでんち;충전지;充电电池;充電電池
0547;Eject Button;Fluchtknopf;Bouton Fuite;Botón Escape;Pulsantefuga;だっしゅつボタン;탈출버튼;逃脱按键;逃脫按鍵
0548;Fire Gem;Feuerjuwel;Joyau Feu;Gema Fuego;Bijoufuoco;ほのおのジュエル;불꽃주얼;火之宝石;火之寶石
0549;Water Gem;Wasserjuwel;Joyau Eau;Gema Agua;Bijouacqua;みずのジュエル;물주얼;水之宝石;水之寶石
0550;Electric Gem;Elektrojuwel;Joyau Électrik;Gema Eléctrico;Bijouelettro;でんきのジュエル;전기주얼;电之宝石;電之寶石
0551;Grass Gem;Pflanzenjuwel;Joyau Plante;Gema Planta;Bijouerba;くさのジュエル;풀주얼;草之宝石;草之寶石
0552;Ice Gem;Eisjuwel;Joyau Glace;Gema Hielo;Bijoughiaccio;こおりのジュエル;얼음주얼;冰之宝石;冰之寶石
0553;Fighting Gem;Kampfjuwel;Joyau Combat;Gema Lucha;Bijoulotta;かくとうジュエル;격투주얼;格斗宝石;格鬥寶石
0554;Poison Gem;Giftjuwel;Joyau Poison;Gema Veneno;Bijouveleno;どくのジュエル;독주얼;毒之宝石;毒之寶石
0555;Ground Gem;Bodenjuwel;Joyau Sol;Gema Tierra;Bijouterra;じめんのジュエル;땅주얼;地面宝石;地面寶石
0556;Flying Gem;Flugjuwel;Joyau Vol;Gema Volador;Bijouvolante;ひこうのジュエル;비행주얼;飞行宝石;飛行寶石
0557;Psychic Gem;Psychojuwel;Joyau Psy;Gema Psíquico;Bijoupsico;エスパージュエル;에스퍼주얼;超能力宝石;超能力寶石
0558;Bug Gem;Käferjuwel;Joyau Insecte;Gema Bicho;Bijoucoleottero;むしのジュエル;벌레주얼;虫之宝石;蟲之寶石
0559;Rock Gem;Gesteinsjuwel;Joyau Roche;Gema Roca;Bijouroccia;いわのジュエル;바위주얼;岩石宝石;岩石寶石
0560;Ghost Gem;Geisterjuwel;Joyau Spectre;Gema Fantasma;Bijouspettro;ゴーストジュエル;고스트주얼;幽灵宝石;幽靈寶石
0561;Dragon Gem;Drakojuwel;Joyau Dragon;Gema Dragón;Bijoudrago;ドラゴンジュエル;드래곤주얼;龙之宝石;龍之寶石
0562;Dark Gem;Unlichtjuwel;Joyau Ténèbres;Gema Siniestro;Bijoubuio;あくのジュエル;악주얼;恶之宝石;惡之寶石
0563;Steel Gem;Stahljuwel;Joyau Acier;Gema Acero;Bijouacciaio;はがねのジュエル;강철주얼;钢之宝石;鋼之寶石
0564;Normal Gem;Normaljuwel;Joyau Normal;Gema Normal;Bijounormale;ノーマルジュエル;노말주얼;一般宝石;一般寶石
0565;Health Feather;Heilfeder;Plume Santé;Pluma Vigor;Piumsalute;たいりょくのハネ;체력깃털;体力之羽;體力之羽
0566;Muscle Feather;Kraftfeder;Plume Force;Pluma Músculo;Piumpotenza;きんりょくのハネ;근력깃털;肌力之羽;肌力之羽
0567;Resist Feather;Abwehrfeder;Plume Armure;Pluma Aguante;Piumtutela;ていこうのハネ;저항력깃털;抵抗之羽;抵抗之羽
0568;Genius Feather;Geniefeder;Plume Esprit;Pluma Intelecto;Piumingegno;ちりょくのハネ;지력깃털;智力之羽;智力之羽
0569;Clever Feather;Espritfeder;Plume Mental;Pluma Mente;Piumintuito;せいしんのハネ;정신력깃털;精神之羽;精神之羽
0570;Swift Feather;Flinkfeder;Plume Sprint;Pluma Ímpetu;Piumreazione;しゅんぱつのハネ;순발력깃털;瞬发之羽;瞬發之羽
0571;Pretty Feather;Prachtfeder;Jolie Plume;Pluma Bella;Piumabella;きれいなハネ;고운깃털;美丽之羽;美麗之羽
0572;Cover Fossil;Schildfossil;Fossile Plaque;Fósil Tapa;Fossiltappo;ふたのカセキ;덮개화석;背盖化石;背蓋化石
0573;Plume Fossil;Federfossil;Fossile Plume;Fósil Pluma;Fossilpiuma;はねのカセキ;깃털화석;羽毛化石;羽毛化石
0574;Liberty Pass;Gartenpass;Passe Liberté;Tarjeta Libertad;Liberticket;リバティチケット;리버티티켓;自由船票;自由船票
0575;Pass Orb;Transfer-Orb;Offrisphère;Regalosfera;Passabilia;デルダマ;딜구슬;释出之玉;釋出之玉
0576;Dream Ball;Traumball;Rêve Ball;Ensueño Ball;Dream Ball;ドリームボール;드림볼;梦境球;夢境球
0577;Poké Toy;Pokéwedel;Poké Plumet;Pokéseñuelo;Pokégingillo;ポケじゃらし;포켓풀;宝可尾草;寶可尾草
0578;Prop Case;Deko-Box;Boîte Parure;Neceser;Portagadget;グッズケース;굿즈케이스;物品箱;物品箱
0579;Dragon Skull;Drakoschädel;Crâne Dragon;Cráneo Dragón;Teschio;ドラゴンのホネ;드래곤의뼈;龙之骨;龍之骨
0580;Balm Mushroom;Duftpilz;Champi Suave;Seta Aroma;Profumfungo;かおるキノコ;향기버섯;芳香蘑菇;芳香蘑菇
0581;Big Nugget;Riesennugget;Maxi Pépite;Maxipepita;Granpepita;でかいきんのたま;큰금구슬;巨大金珠;巨大金珠
0582;Pearl String;Triperle;Perle Triple;Sarta de Perlas;Trittiperla;おだんごしんじゅ;경단진주;丸子珍珠;丸子珍珠
0583;Comet Shard;Kometstück;Morceau Comète;Fragmento Cometa;Pezzo cometa;すいせいのかけら;혜성조각;彗星碎片;彗星碎片
0584;Relic Copper;Alter Heller;Vieux Sou;Real de Cobre;Soldantico;こだいのどうか;고대의동화;古代铜币;古代銅幣
0585;Relic Silver;Alter Taler;Vieil Écu;Real de Plata;Ducatantico;こだいのぎんか;고대의은화;古代银币;古代銀幣
0586;Relic Gold;Alter Dukat;Vieux Ducat;Real de Oro;Doblonantico;こだいのきんか;고대의금화;古代金币;古代金幣
0587;Relic Vase;Alte Vase;Vieux Vase;Ánfora Antigua;Vasantico;こだいのツボ;고대의항아리;古代之壶;古代之壺
0588;Relic Band;Alter Reif;Vieux Bijou;Brazal Antiguo;Bracciantico;こだいのうでわ;고대의팔찌;古代手镯;古代手鐲
0589;Relic Statue;Alte Statue;Vieux Santon;Efigie Antigua;Statuantica;こだいのせきぞう;고대의석상;古代石像;古代石像
0590;Relic Crown;Alte Krone;Vieux Tortil;Corona Antigua;Coronantica;こだいのおうかん;고대의왕관;古代王冠;古代王冠
0591;Casteliacone;Stratos-Eis;Glace Volute;Porcehelado;Conostropoli;ヒウンアイス;구름아이스;飞云冰淇淋;飛雲冰淇淋
0592;Dire Hit 2;X-Volltreffer 2;Muscle 2;Crítico X 2;Supercolpo 2;クリティカット２;크리티컬커터2;要害攻击２;要害攻擊２
0593;X Speed 2;X-Initiative 2;Vitesse 2;Velocidad X 2;Velocità X-2;スピーダー２;스피드업2;速度强化２;速度強化２
0594;X Sp. Atk 2;X-Sp.-Ang. 2;Atq. Spé. 2;Ataque Especial X 2;Attacco Speciale X-2;ＳＰアップ２;스페셜업2;特攻强化２;特攻強化２
0595;X Sp. Def 2;X-Sp.-Vert. 2;Déf. Spé. 2;Defensa Especial X 2;Difesa Speciale X-2;ＳＰガード２;스페셜가드2;特防强化２;特防強化２
0596;X Defense 2;X-Verteidigung 2;Défense 2;Defensa X 2;Difesa X-2;ディフェンダー２;디펜드업2;防御强化２;防禦強化２
0597;X Attack 2;X-Angriff 2;Attaque 2;Ataque X 2;Attacco X-2;プラスパワー２;플러스파워2;力量强化２;力量強化２
0598;X Accuracy 2;X-Genauigkeit 2;Précision 2;Precisión X 2;Precisione X-2;ヨクアタール２;잘-맞히기2;命中强化２;命中強化２
0599;X Speed 3;X-Initiative 3;Vitesse 3;Velocidad X 3;Velocità X-3;スピーダー３;스피드업3;速度强化３;速度強化３
0600;X Sp. Atk 3;X-Sp.-Ang. 3;Atq. Spé. 3;Ataque Especial X 3;Attacco Speciale X-3;ＳＰアップ３;스페셜업3;特攻强化３;特攻強化３
0601;X Sp. Def 3;X-Sp.-Vert. 3;Déf. Spé. 3;Defensa Especial X 3;Difesa Speciale X-3;ＳＰガード３;스페셜가드3;特防强化３;特防強化３
0602;X Defense 3;X-Verteidigung 3;Défense 3;Defensa X 3;Difesa X-3;ディフェンダー３;디펜드업3;防御强化３;防禦強化３
0603;X Attack 3;X-Angriff 3;Attaque 3;Ataque X 3;Attacco X-3;プラスパワー３;플러스파워3;力量强化３;力量強化３
0604;X Accuracy 3;X-Genauigkeit 3;Précision 3;Precisión X 3;Precisione X-3;ヨクアタール３;잘-맞히기3;命中强化３;命中強化３
0605;X Speed 6;X-Initiative 6;Vitesse 6;Velocidad X 6;Velocità X-6;スピーダー６;스피드업6;速度强化６;速度強化６
0606;X Sp. Atk 6;X-Sp.-Ang. 6;Atq. Spé. 6;Ataque Especial X 6;Attacco Speciale X-6;ＳＰアップ６;스페셜업6;特攻强化６;特攻強化６
0607;X Sp. Def 6;X-Sp.-Vert. 6;Déf. Spé. 6;Defensa Especial X 6;Difesa Speciale X-6;ＳＰガード６;스페셜가드6;特防强化６;特防強化６
0608;X Defense 6;X-Verteidigung 6;Défense 6;Defensa X 6;Difesa X-6;ディフェンダー６;디펜드업6;防御强化６;防禦強化６
0609;X Attack 6;X-Angriff 6;Attaque 6;Ataque X 6;Attacco X-6;プラスパワー６;플러스파워6;力量强化６;力量強化６
0610;X Accuracy 6;X-Genauigkeit 6;Précision 6;Precisión X 6;Precisione X-6;ヨクアタール６;잘-맞히기6;命中强化６;命中強化６
0611;Ability Urge;Fähigkeiten-Appell;Appel Talent;Habilitador;Chiamabilità;スキルコール;스킬콜;？？？;？？？
0612;Item Drop;Itemabwurf;Jette Objet;Tiraobjeto;Lascioggetto;アイテムドロップ;아이템드롭;？？？;？？？
0613;Item Urge;Itemappell;Appel Objet;Activaobjeto;Chiamoggetto;アイテムコール;아이템콜;？？？;？？？
0614;Reset Urge;Umkehrappell;Réamorçage;Quitaestado;Ripristino;フラットコール;플랫콜;？？？;？？？
0615;Dire Hit 3;X-Volltreffer 3;Muscle 3;Crítico X 3;Supercolpo 3;クリティカット３;크리티컬커터3;要害攻击３;要害攻擊３
0616;Light Stone;Lichtstein;Galet Blanc;Orbe Claro;Chiarolite;ライトストーン;라이트스톤;光明石;光明石
0617;Dark Stone;Dunkelstein;Galet Noir;Orbe Oscuro;Scurolite;ダークストーン;다크스톤;黑暗石;黑闇石
0618;TM093;TM093;CT093;MT093;MT093;わざマシン０９３;기술머신093;招式学习器０９３;招式學習器０９３
0619;TM094;TM094;CT094;MT094;MT094;わざマシン０９４;기술머신094;招式学习器０９４;招式學習器０９４
0620;TM095;TM095;CT095;MT095;MT095;わざマシン０９５;기술머신095;招式学习器０９５;招式學習器０９５
0621;Xtransceiver;Viso-Caster;Vokit;Videomisor;Interpoké;ライブキャスター;라이브캐스터;即时通讯器;即時通訊器
0622;???;???;???;(?);???;ゴッドストーン;???;神石;神石
0623;Gram 1;Briefpost 1;Courrier 1;Envío 1;Missiva 1;はいたつぶつ１;배달물1;配送物品１;配送物品１
0624;Gram 2;Briefpost 2;Courrier 2;Envío 2;Missiva 2;はいたつぶつ２;배달물2;配送物品２;配送物品２
0625;Gram 3;Briefpost 3;Courrier 3;Envío 3;Missiva 3;はいたつぶつ３;배달물3;配送物品３;配送物品３
0626;Xtransceiver;Viso-Caster;Vokit;Videomisor;Interpoké;ライブキャスター;라이브캐스터;即时通讯器;即時通訊器
0627;Medal Box;Medaillenbox;Boîte Médailles;Caja de Insignias;Box premi;メダルボックス;메달박스;奖牌盒;獎牌盒
0628;DNA Splicers;;;;;;;;
0629;DNA Splicers;;;;;;;;
0630;Permit;Genehmigung;Permis;Pase;Permesso;きょかしょう;허가증;许可证;許可證
0631;Oval Charm;;;;;;;;
0632;Shiny Charm;;;;;;;;
0633;Plasma Card;Plasmakarte;Carte Plasma;Tarjeta Plasma;Carta Plasma;プラズマカード;플라스마카드;等离子卡;等離子卡
0634;Grubby Hanky;Schnäuztuch;Mouchoir Sale;Pañuelo Sucio;Pezza sporca;よごれたハンカチ;더러운손수건;脏手帕;髒手帕
0635;Colress Machine;Achromat;Nikodule;Acromáquina;Acrocongegno;アクロママシーン;아크로마머신;阿克罗玛机器;阿克羅瑪機器
0636;Dropped Item;Fundsache;Objet Trouvé;Objeto Perdido;Oggetto perso;わすれもの;잊은물건;遗忘物;遺忘物
0637;Dropped Item;Fundsache;Objet Trouvé;Objeto Perdido;Oggetto perso;わすれもの;잊은물건;遗忘物;遺忘物
0638;Reveal Glass;;;;;;;;
0639;Weakness Policy;Schwächenschutz;Vulné-Assurance;Seguro Debilidad;Vulneropolizza;じゃくてんほけん;약점보험;弱点保险;弱點保險
0640;Assault Vest;Offensivweste;Veste de Combat;Chaleco Asalto;Corpetto assalto;とつげきチョッキ;돌격조끼;突击背心;突擊背心
0641;Holo Caster;;;;;;;;
0642;Prof's Letter;;;;;;;;
0643;Roller Skates;;;;;;;;
0644;Pixie Plate;Feentafel;Plaque Pixie;Tabla Duende;Lastraspiritello;せいれいプレート;정령플레이트;妖精石板;妖精石板
0645;Ability Capsule;Fähigkeiten-Kapsel;Pilule Talent;Cápsula Habilidad;Capsula abilità;とくせいカプセル;특성캡슐;特性胶囊;特性膠囊
0646;Whipped Dream;Sahnehäubchen;Chantibonbon;Dulce de Nata;Dolcespuma;ホイップポップ;휘핑팝;泡沫奶油;泡沫奶油
0647;Sachet;Duftbeutel;Sachet Senteur;Saquito Fragante;Bustina aromi;においぶくろ;향기주머니;香袋;香袋
0648;Luminous Moss;Leuchtmoos;Lichen Lumineux;Musgo Brillante;Muschioluce;ひかりごけ;빛이끼;光苔;光苔
0649;Snowball;Schneeball;Boule de Neige;Bola de Nieve;Palla di neve;ゆきだま;눈덩이;雪球;雪球
0650;Safety Goggles;Schutzbrille;Lunettes Filtre;Gafa Protectora;Visierantisabbia;ぼうじんゴーグル;방진고글;防尘护目镜;防塵護目鏡
0651;Poké Flute;;;;;;;;
0652;Rich Mulch;Sprießmulch;Fertibondance;Abono Fértil;Fertilflorido;たわわこやし;주렁주렁비료;硕果肥;碩果肥
0653;Surprise Mulch;Wundermulch;Fertistantané;Abono Sorpresa;Fertilsorpresa;びっくりこやし;깜놀비료;吃惊肥;吃驚肥
0654;Boost Mulch;Wuchermulch;Fertibérance;Abono Fructífero;Fertilcopioso;ぐんぐんこやし;부쩍부쩍비료;劲劲肥;勁勁肥
0655;Amaze Mulch;Ultramulch;Fertiprodige;Abono Insólito;Fertilprodigio;とんでもこやし;기절초풍비료;超效肥;超效肥
0656;Gengarite;Gengarnit;Ectoplasmite;Gengarita;Gengarite;ゲンガナイト;팬텀나이트;耿鬼进化石;耿鬼進化石
0657;Gardevoirite;Guardevoirnit;Gardevoirite;Gardevoirita;Gardevoirite;サーナイトナイト;가디안나이트;沙奈朵进化石;沙奈朵進化石
0658;Ampharosite;Ampharosnit;Pharampite;Ampharosita;Ampharosite;デンリュウナイト;전룡나이트;电龙进化石;電龍進化石
0659;Venusaurite;Bisaflornit;Florizarrite;Venusaurita;Venusaurite;フシギバナイト;이상해꽃나이트;妙蛙花进化石;妙蛙花進化石
0660;Charizardite X;Gluraknit X;Dracaufite X;Charizardita X;Charizardite X;リザードナイトＸ;리자몽나이트X;喷火龙进化石Ｘ;噴火龍進化石Ｘ
0661;Blastoisinite;Turtoknit;Tortankite;Blastoisita;Blastoisite;カメックスナイト;거북왕나이트;水箭龟进化石;水箭龜進化石
0662;Mewtwonite X;Mewtunit X;Mewtwoïte X;Mewtwoita X;Mewtwoite X;ミュウツナイトＸ;뮤츠나이트X;超梦进化石Ｘ;超夢進化石Ｘ
0663;Mewtwonite Y;Mewtunit Y;Mewtwoïte Y;Mewtwoita Y;Mewtwoite Y;ミュウツナイトＹ;뮤츠나이트Y;超梦进化石Ｙ;超夢進化石Ｙ
0664;Blazikenite;Lohgocknit;Braségalite;Blazikenita;Blazikenite;バシャーモナイト;번치코나이트;火焰鸡进化石;火焰雞進化石
0665;Medichamite;Meditalisnit;Charminite;Medichamita;Medichamite;チャーレムナイト;요가램나이트;恰雷姆进化石;恰雷姆進化石
0666;Houndoominite;Hundemonit;Démolossite;Houndoomita;Houndoomite;ヘルガナイト;헬가나이트;黑鲁加进化石;黑魯加進化石
0667;Aggronite;Stollossnit;Galekingite;Aggronita;Aggronite;ボスゴドラナイト;보스로라나이트;波士可多拉进化石;波士可多拉進化石
0668;Banettite;Banetteonit;Branettite;Banettita;Banettite;ジュペッタナイト;다크펫나이트;诅咒娃娃进化石;詛咒娃娃進化石
0669;Tyranitarite;Despotarnit;Tyranocivite;Tyranitarita;Tyranitarite;バンギラスナイト;마기라스나이트;班基拉斯进化石;班基拉斯進化石
0670;Scizorite;Scheroxnit;Cizayoxite;Scizorita;Scizorite;ハッサムナイト;핫삼나이트;巨钳螳螂进化石;巨鉗螳螂進化石
0671;Pinsirite;Pinsirnit;Scarabruite;Pinsirita;Pinsirite;カイロスナイト;쁘사이저나이트;凯罗斯进化石;凱羅斯進化石
0672;Aerodactylite;Aerodactylonit;Ptéraïte;Aerodactylita;Aerodactylite;プテラナイト;프테라나이트;化石翼龙进化石;化石翼龍進化石
0673;Lucarionite;Lucarionit;Lucarite;Lucarita;Lucarite;ルカリオナイト;루카리오나이트;路卡利欧进化石;路卡利歐進化石
0674;Abomasite;Rexblisarnit;Blizzarite;Abomasnowita;Abomasnowite;ユキノオナイト;눈설왕나이트;暴雪王进化石;暴雪王進化石
0675;Kangaskhanite;Kangamanit;Kangourexite;Kangaskhanita;Kangaskhanite;ガルーラナイト;캥카나이트;袋兽进化石;袋獸進化石
0676;Gyaradosite;Garadosnit;Léviatorite;Gyaradosita;Gyaradosite;ギャラドスナイト;갸라도스나이트;暴鲤龙进化石;暴鯉龍進化石
0677;Absolite;Absolnit;Absolite;Absolita;Absolite;アブソルナイト;앱솔나이트;阿勃梭鲁进化石;阿勃梭魯進化石
0678;Charizardite Y;Gluraknit Y;Dracaufite Y;Charizardita Y;Charizardite Y;リザードナイトＹ;리자몽나이트Y;喷火龙进化石Ｙ;噴火龍進化石Ｙ
0679;Alakazite;Simsalanit;Alakazamite;Alakazamita;Alakazamite;フーディナイト;후디나이트;胡地进化石;胡地進化石
0680;Heracronite;Skarabornit;Scarhinoïte;Heracrossita;Heracrossite;ヘラクロスナイト;헤라크로스나이트;赫拉克罗斯进化石;赫拉克羅斯進化石
0681;Mawilite;Flunkifernit;Mysdibulite;Mawilita;Mawilite;クチートナイト;입치트나이트;大嘴娃进化石;大嘴娃進化石
0682;Manectite;Voltensonit;Élecsprintite;Manectricita;Manectricite;ライボルトナイト;썬더볼트나이트;雷电兽进化石;雷電獸進化石
0683;Garchompite;Knakracknit;Carchacrokite;Garchompita;Garchompite;ガブリアスナイト;한카리아스나이트;烈咬陆鲨进化石;烈咬陸鯊進化石
0684;Latiasite;Latiasnit;Latiasite;Latiasita;Latiasite;ラティアスナイト;라티아스나이트;拉帝亚斯进化石;拉帝亞斯進化石
0685;Latiosite;Latiosnit;Latiosite;Latiosita;Latiosite;ラティオスナイト;라티오스나이트;拉帝欧斯进化石;拉帝歐斯進化石
0686;Roseli Berry;Hibisbeere;Baie Selro;Baya Hibis;Baccarcadè;ロゼルのみ;로셀열매;洛玫果;洛玫果
0687;Kee Berry;Akibeere;Baie Éka;Baya Biglia;Baccalighia;アッキのみ;악키열매;亚开果;亞開果
0688;Maranga Berry;Tarabeere;Baie Rangma;Baya Maranga;Baccapane;タラプのみ;타라프열매;香罗果;香羅果
0689;Sprinklotad;;;;;;;;
0690;TM096;TM096;CT096;MT096;MT096;わざマシン０９６;기술머신096;招式学习器０９６;招式學習器０９６
0691;TM097;TM097;CT097;MT097;MT097;わざマシン０９７;기술머신097;招式学习器０９７;招式學習器０９７
0692;TM098;TM098;CT098;MT098;MT098;わざマシン０９８;기술머신098;招式学习器０９８;招式學習器０９８
0693;TM099;TM099;CT099;MT099;MT099;わざマシン０９９;기술머신099;招式学习器０９９;招式學習器０９９
0694;TM100;TM100;CT100;MT100;MT100;わざマシン１００;기술머신100;招式学习器１００;招式學習器１００
0695;Power Plant Pass;;;;;;;;
0696;Mega Ring;;;;;;;;
0697;Intriguing Stone;;;;;;;;
0698;Common Stone;;;;;;;;
0699;Discount Coupon;Rabattmarke;Bon Réduction;Vale Descuento;Buono sconto;バーゲンチケット;바겐세일티켓;折价券;折價券
0700;Elevator Key;;;;;;;;
0701;TMV Pass;;;;;;;;
0702;Honor of Kalos;;;;;;;;
0703;Adventure Guide;;;;;;;;
0704;Strange Souvenir;Skurriloskulptur;Bibelot Bizarre;Estatuilla Rara;Strano ninnolo;ふしぎなおきもの;이상한장식품;神秘摆设;神秘擺設
0705;Lens Case;;;;;;;;
0706;Makeup Bag;;;;;;;;
0707;Travel Trunk;;;;;;;;
0708;Lumiose Galette;Illumina-Galette;Galette Illumis;Crêpe Luminalia;Pan di Lumi;ミアレガレット;미르갈레트;密阿雷格雷派饼;密阿雷格雷派餅
0709;Shalour Sable;Yantara-Sablé;Sablé Yantreizh;Galleta Yantra;Yantafrollino;シャラサブレ;사라사블레;娑罗沙布蕾;娑羅沙布蕾
0710;Jaw Fossil;Kieferfossil;Fossile Mâchoire;Fósil Mandíbula;Fossilmascella;アゴのカセキ;턱화석;颚之化石;顎之化石
0711;Sail Fossil;Flossenfossil;Fossile Nageoire;Fósil Aleta;Fossilpinna;ヒレのカセキ;지느러미화석;鳍之化石;鰭之化石
0712;Looker Ticket;;;;;;;;
0713;Bike;;;;;;;;
0714;Holo Caster;;;;;;;;
0715;Fairy Gem;Feenjuwel;Joyau Fée;Gema Hada;Bijoufolletto;ようせいジュエル;페어리주얼;妖精宝石;妖精寶石
0716;Mega Charm;;;;;;;;
0717;Mega Glove;;;;;;;;
0718;Mach Bike;;;;;;;;
0719;Acro Bike;;;;;;;;
0720;Wailmer Pail;;;;;;;;
0721;Devon Parts;;;;;;;;
0722;Soot Sack;;;;;;;;
0723;Basement Key;;;;;;;;
0724;Pokéblock Kit;;;;;;;;
0725;Letter;;;;;;;;
0726;Eon Ticket;;;;;;;;
0727;Scanner;;;;;;;;
0728;Go-Goggles;;;;;;;;
0729;Meteorite;;;;;;;;
0730;Key to Room 1;;;;;;;;
0731;Key to Room 2;;;;;;;;
0732;Key to Room 4;;;;;;;;
0733;Key to Room 6;;;;;;;;
0734;Storage Key;;;;;;;;
0735;Devon Scope;;;;;;;;
0736;S.S. Ticket;;;;;;;;
0737;HM07;;;;;;;;
0738;Devon Scuba Gear;;;;;;;;
0739;Contest Costume;;;;;;;;
0740;Contest Costume;;;;;;;;
0741;Magma Suit;;;;;;;;
0742;Aqua Suit;;;;;;;;
0743;Pair of Tickets;;;;;;;;
0744;Mega Bracelet;;;;;;;;
0745;Mega Pendant;;;;;;;;
0746;Mega Glasses;;;;;;;;
0747;Mega Anchor;;;;;;;;
0748;Mega Stickpin;;;;;;;;
0749;Mega Tiara;;;;;;;;
0750;Mega Anklet;;;;;;;;
0751;Meteorite;;;;;;;;
0752;Swampertite;Sumpexnit;Laggronite;Swampertita;Swampertite;ラグラージナイト;대짱이나이트;巨沼怪进化石;巨沼怪進化石
0753;Sceptilite;Gewaldronit;Jungkite;Sceptilita;Sceptilite;ジュカインナイト;나무킹나이트;蜥蜴王进化石;蜥蜴王進化石
0754;Sablenite;Zobirisnit;Ténéfixite;Sableynita;Sableyite;ヤミラミナイト;깜까미나이트;勾魂眼进化石;勾魂眼進化石
0755;Altarianite;Altarianit;Altarite;Altarianita;Altarite;チルタリスナイト;파비코리나이트;七夕青鸟进化石;七夕青鳥進化石
0756;Galladite;Galagladinit;Gallamite;Galladita;Galladite;エルレイドナイト;엘레이드나이트;艾路雷朵进化石;艾路雷朵進化石
0757;Audinite;Ohrdochnit;Nanméouïte;Audinita;Audinite;タブンネナイト;다부니나이트;差不多娃娃进化石;差不多娃娃進化石
0758;Metagrossite;Metagrossnit;Métalossite;Metagrossita;Metagrossite;メタグロスナイト;메타그로스나이트;巨金怪进化石;巨金怪進化石
0759;Sharpedonite;Tohaidonit;Sharpedite;Sharpedonita;Sharpedite;サメハダナイト;샤크니아나이트;巨牙鲨进化石;巨牙鯊進化石
